mission_id;timestamp;lat;lon;alt_km;signal_strength
ALPHA-01;2026-03-28 14:00:00;-23.5505;-46.6333;405.2;88%
ALPHA-01;2026-03-28 14:01:00;-23.5600;-46.6400;405.5;85%
BETA-02;2026-03-28 14:00:15;999.999;-120.000;-10.0;12%
GAMMA-03;2026-03-28 14:02:00;12.4500; ;410.0;NULL
ALPHA-01; ; -23.5700;-46.6500;405.8;90%
BETA-02;2026-03-28 14:05:00;34.0522;-118.2437;"406,1";0%
DELTA-04;2026-03-28 14:10:00;0.0000;0.0000;0.0;99%
ALPHA-01;2026-03-28 14:11:00;-23.5800;-46.6600;406.0;82%
BETA-02;2026-03-28 14:12:00;34.0700;-118.2600;406.5;ERROR
ALPHA-01;2026-03-28 14:13:00;-23.5900;-46.6700;406.8;80%
ALPHA-01;2026-03-28 14:14:00;-23.6000;-46.6800;407.0;78%
BETA-02;2026-03-28 14:15:00;34.0800;-118.2700;406.7;55%
GAMMA-03;2026-03-28 14:16:00;12.5000;45.1000;411.0;NULL
DELTA-04;2026-03-28 14:17:00;0.0001;0.0001;0.1;98%
ALPHA-01;2026-03-28 14:18:00;-23.6100;-46.6900;407.2;75%
ALPHA-01;2026-03-28 14:19:00;-23.6200;-46.7000;407.5;73%
BETA-02;2026-03-28 14:20:00;34.0900;-118.2800;406.9;50%
GAMMA-03;2026-03-28 14:21:00;12.5500;45.1500;412.0;92%
DELTA-04;2026-03-28 14:22:00;0.0002;0.0002;0.2;97%
ALPHA-01;2026-03-28 14:23:00;-23.6300;-46.7100;407.8;70%
ALPHA-01;2026-03-28 14:24:00;-23.6400;-46.7200;408.0;68%
BETA-02;2026-03-28 14:25:00;34.1000;-118.2900;407.1;45%
GAMMA-03;2026-03-28 14:26:00;12.6000;45.2000;413.0;91%
DELTA-04;2026-03-28 14:27:00;0.0003;0.0003;0.3;96%
ALPHA-01;2026-03-28 14:28:00;-23.6500;-46.7300;408.2;65%
ALPHA-01;2026-03-28 14:29:00;-23.6600;-46.7400;408.5;63%
BETA-02;2026-03-28 14:30:00;34.1100;-118.3000;407.3;40%
GAMMA-03;2026-03-28 14:31:00;12.6500;45.2500;414.0;90%
DELTA-04;2026-03-28 14:32:00;0.0004;0.0004;0.4;95%
ALPHA-01;2026-03-28 14:33:00;-23.6700;-46.7500;408.8;60%
ALPHA-01;2026-03-28 14:34:00;-23.6800;-46.7600;409.0;58%
BETA-02;2026-03-28 14:35:00;34.1200;-118.3100;407.5;35%
GAMMA-03;2026-03-28 14:36:00;12.7000;45.3000;415.0;89%
DELTA-04;2026-03-28 14:37:00;0.0005;0.0005;0.5;94%
ALPHA-01;2026-03-28 14:38:00;-23.6900;-46.7700;409.2;55%
ALPHA-01;2026-03-28 14:39:00;-23.7000;-46.7800;409.5;53%
BETA-02;2026-03-28 14:40:00;34.1300;-118.3200;407.7;30%
GAMMA-03;2026-03-28 14:41:00;12.7500;45.3500;416.0;88%
DELTA-04;2026-03-28 14:42:00;0.0006;0.0006;0.6;93%
ALPHA-01;2026-03-28 14:43:00;-23.7100;-46.7900;409.8;50%
ALPHA-01;2026-03-28 14:44:00;-23.7200;-46.8000;410.0;48%
BETA-02;2026-03-28 14:45:00;34.1400;-118.3300;407.9;25%
GAMMA-03;2026-03-28 14:46:00;12.8000;45.4000;417.0;87%
DELTA-04;2026-03-28 14:47:00;0.0007;0.0007;0.7;92%
ALPHA-01;2026-03-28 14:48:00;-23.7300;-46.8100;410.2;45%
ALPHA-01;2026-03-28 14:49:00;-23.7400;-46.8200;410.5;43%
